"","open","high","low","popen","phigh","plow","range","prange"
"114",0.00879999999999992,0.00449999999999995,9.9999999999989e-05,-0.00439999999999996,0.0011000000000001,0.00449999999999995,0.0115000000000001,0.00810000000000022
"115",-0.00439999999999996,0.0011000000000001,0.00449999999999995,-0.00270000000000015,-0.00610000000000022,-0.00589999999999979,0.00810000000000022,0.0078999999999998
"116",-0.00270000000000015,-0.00610000000000022,-0.00589999999999979,0.00260000000000016,0.00270000000000015,0.00319999999999987,0.0078999999999998,0.00740000000000007
"117",0.00260000000000016,0.00270000000000015,0.00319999999999987,0.00309999999999988,-0.000599999999999934,0.000599999999999934,0.00740000000000007,0.00620000000000021
"118",0.00309999999999988,-0.000599999999999934,0.000599999999999934,-0.00229999999999997,0.000399999999999956,0.000500000000000167,0.00620000000000021,0.00609999999999999
"119",-0.00229999999999997,0.000399999999999956,0.000500000000000167,0.00490000000000013,0.00229999999999997,0.00139999999999985,0.00609999999999999,0.00700000000000012
"120",0.00490000000000013,0.00229999999999997,0.00139999999999985,-0.00750000000000006,0.000799999999999912,-0.00139999999999985,0.00700000000000012,0.00919999999999987
"121",-0.00750000000000006,0.000799999999999912,-0.00139999999999985,0.002,-0.00549999999999984,-0.00360000000000005,0.00919999999999987,0.00730000000000008
"122",0.002,-0.00549999999999984,-0.00360000000000005,0.00340000000000007,0.002,0.00380000000000003,0.00730000000000008,0.00550000000000006
"123",0.00340000000000007,0.002,0.00380000000000003,-0.002,0.00129999999999986,-9.9999999999989e-05,0.00550000000000006,0.00689999999999991
"124",-0.002,0.00129999999999986,-9.9999999999989e-05,0.00189999999999979,0.00150000000000006,0.0028999999999999,0.00689999999999991,0.00550000000000006
"125",0.00189999999999979,0.00150000000000006,0.0028999999999999,0.00190000000000001,0.00109999999999988,0.000800000000000134,0.00550000000000006,0.00579999999999981
"126",0.00190000000000001,0.00109999999999988,0.000800000000000134,-0.00479999999999992,0.00240000000000018,-0.00660000000000016,0.00579999999999981,0.0148000000000001
"127",-0.00479999999999992,0.00240000000000018,-0.00660000000000016,0.00180000000000002,-0.00680000000000014,0.00219999999999998,0.0148000000000001,0.00580000000000003
"128",0.00180000000000002,-0.00680000000000014,0.00219999999999998,-0.01,0.00150000000000006,-0.00529999999999986,0.00580000000000003,0.0125999999999999
