Local time,Open,High,Low,Close,Volume
30.05.2022 01:59:00.000 GMT+0200,1.07295,1.07299,1.07289,1.07290,135.79
30.05.2022 02:00:00.000 GMT+0200,1.07291,1.07302,1.07291,1.07301,161.87
30.05.2022 02:01:00.000 GMT+0200,1.07300,1.07304,1.07300,1.07302,76.5
30.05.2022 02:02:00.000 GMT+0200,1.07303,1.07312,1.07300,1.07304,81.54
30.05.2022 02:03:00.000 GMT+0200,1.07305,1.07328,1.07305,1.07325,104.04
30.05.2022 02:04:00.000 GMT+0200,1.07323,1.07331,1.07316,1.07328,108.11
30.05.2022 02:05:00.000 GMT+0200,1.07327,1.07327,1.07309,1.07310,185.69
30.05.2022 02:06:00.000 GMT+0200,1.07309,1.07320,1.07309,1.07315,183.83
30.05.2022 02:07:00.000 GMT+0200,1.07315,1.07318,1.07306,1.07307,125.8
30.05.2022 02:08:00.000 GMT+0200,1.07309,1.07317,1.07300,1.07303,128.29
30.05.2022 02:09:00.000 GMT+0200,1.07302,1.07316,1.07301,1.07312,118.88
30.05.2022 02:10:00.000 GMT+0200,1.07312,1.07319,1.07312,1.07317,39.6
30.05.2022 02:11:00.000 GMT+0200,1.07316,1.07318,1.07312,1.07314,63
30.05.2022 02:12:00.000 GMT+0200,1.07314,1.07316,1.07309,1.07312,50.03
30.05.2022 02:13:00.000 GMT+0200,1.07315,1.07321,1.07315,1.07319,24.3
30.05.2022 02:14:00.000 GMT+0200,1.07318,1.07318,1.07303,1.07306,97.38
30.05.2022 02:15:00.000 GMT+0200,1.07308,1.07323,1.07308,1.07321,82.62
30.05.2022 02:16:00.000 GMT+0200,1.07321,1.07322,1.07313,1.07319,42.91
30.05.2022 02:17:00.000 GMT+0200,1.07316,1.07319,1.07312,1.07316,27.77
30.05.2022 02:18:00.000 GMT+0200,1.07316,1.07317,1.07304,1.07304,30.27
30.05.2022 02:19:00.000 GMT+0200,1.07306,1.07306,1.07296,1.07296,62.48
30.05.2022 02:20:00.000 GMT+0200,1.07293,1.07293,1.07282,1.07284,58.88
30.05.2022 02:21:00.000 GMT+0200,1.07285,1.07307,1.07285,1.07306,79.72
30.05.2022 02:22:00.000 GMT+0200,1.07305,1.07339,1.07305,1.07337,73.74
30.05.2022 02:23:00.000 GMT+0200,1.07335,1.07344,1.07331,1.07344,40.76
30.05.2022 02:24:00.000 GMT+0200,1.07341,1.07341,1.07338,1.07340,24.89
30.05.2022 02:25:00.000 GMT+0200,1.07339,1.07345,1.07332,1.07336,62.23
30.05.2022 02:26:00.000 GMT+0200,1.07337,1.07338,1.07328,1.07328,44.76
30.05.2022 02:27:00.000 GMT+0200,1.07329,1.07340,1.07329,1.07336,97.74
30.05.2022 02:28:00.000 GMT+0200,1.07336,1.07341,1.07333,1.07333,49.43
30.05.2022 02:29:00.000 GMT+0200,1.07333,1.07336,1.07316,1.07323,97.5
30.05.2022 02:30:00.000 GMT+0200,1.07322,1.07324,1.07307,1.07311,75.36
30.05.2022 02:31:00.000 GMT+0200,1.07311,1.07322,1.07311,1.07321,26.16
30.05.2022 02:32:00.000 GMT+0200,1.07322,1.07341,1.07321,1.07339,42.36
30.05.2022 02:33:00.000 GMT+0200,1.07339,1.07339,1.07324,1.07324,58.57
30.05.2022 02:34:00.000 GMT+0200,1.07325,1.07327,1.07314,1.07315,47.03
30.05.2022 02:35:00.000 GMT+0200,1.07315,1.07326,1.07315,1.07322,41.97
30.05.2022 02:36:00.000 GMT+0200,1.07321,1.07323,1.07320,1.07320,39.09
30.05.2022 02:37:00.000 GMT+0200,1.07320,1.07342,1.07320,1.07340,78.21
30.05.2022 02:38:00.000 GMT+0200,1.07340,1.07346,1.07340,1.07342,73.95
30.05.2022 02:39:00.000 GMT+0200,1.07340,1.07340,1.07333,1.07337,63.38
30.05.2022 02:40:00.000 GMT+0200,1.07339,1.07342,1.07335,1.07339,29.28
